model,nobs,r_squared,adj_r_squared,f_pvalue
H1_Direct,449,0.3609872019136533,0.2788973966179261,1.0
H2_FirstStage,313,0.33643182522305926,0.22167943409621993,7.07710828686587e-297
H3_H5_OutcomeModeration,56,0.6708517636173573,0.35345882139123763,0.5711179943728881
